Map,Name,Address,Google label,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,FQ2IWe src,Jn12ke src,ah5Ghc,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/BC+Golf+Sim/data=!4m7!3m6!1s0x8823e1f560aad30f:0x4bf91266be59b2c7!8m2!3d43.5805228!4d-83.9053954!16s%2Fg%2F11khk3tg86!19sChIJD9OqYPXhI4gRx7JZvmYS-Us?authuser=0&hl=en&rclk=1,BC Golf Sim,110 Salzburg Ave,Indoor golf course,·,,·,110 Salzburg Ave,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMXSXWdrcN1854KYRqh6txYLItK2axplghnW3tI=w80-h106-k-no,,Onsite services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Big+Mini+Putt+Club/data=!4m7!3m6!1s0x8819add11adce2b9:0xe74e7add60c6be9b!8m2!3d42.9611936!4d-85.6699131!16s%2Fg%2F11whfrkwx9!19sChIJueLcGtGtGYgRm77GYN16Tuc?authuser=0&hl=en&rclk=1,Big Mini Putt Club,70 Ionia Ave SW,Bar,·,,·,70 Ionia Ave SW,Open,⋅ Closes 1 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqBvBxVK-DWBYBnGlvqBoN8hhU2Ik9VQK2J_5muyEZi4BANN8iwd_tiKtqSGgBpeAED2v8L-u5mcBRgm5mrURZMb6G305t0TKMO5whZqQi42AcT-0Ht5j57ku7EVn4MNHSYROrCYg=w80-h106-k-no,,Dine-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Big+Time+Entertainment/data=!4m7!3m6!1s0x883b2ddf9554c6ad:0x1772f48d90c2acc2!8m2!3d42.2889209!4d-83.0251941!16s%2Fg%2F11sfpm3rxx!19sChIJrcZUld8tO4gRwqzCkI30chc?authuser=0&hl=en&rclk=1,Big Time Entertainment,2411 Dougall Ave,Indoor golf course,·,,·,2411 Dougall Ave,Open,⋅ Closes 1 a.m.,https://lh3.googleusercontent.com/p/AF1QipOWKOKwMvnuITWbA-8e_MvhOpwiavmSDS5O7iKj=w80-h120-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Good fun at a high price""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Birdie+Golf/data=!4m7!3m6!1s0x88197dd3253cfa91:0x6661f7996b1079a2!8m2!3d43.2072694!4d-86.1994225!16s%2Fg%2F11sck49kdv!19sChIJkfo8JdN9GYgRonkQa5n3YWY?authuser=0&hl=en&rclk=1,Birdie Golf,1848 E Sherman Blvd,Indoor golf course,·,,·,1848 E Sherman Blvd,Open,⋅ Closes 8 p.m.,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Lots of local courses to play..""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Birdies+and+Brews/data=!4m7!3m6!1s0x8817d7291ee27ae9:0xf0ad4fdd61aba95c!8m2!3d41.9407615!4d-85.0031833!16s%2Fg%2F11tms9mxh6!19sChIJ6XriHinXF4gRXKmrYd1PrfA?authuser=0&hl=en&rclk=1,Birdies and Brews,41 W Chicago St Suite 2,Indoor golf course,·,,·,41 W Chicago St Suite 2,Open,⋅ Closes 9 p.m.,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""It was nice, but the back room is really for a group of 4 players.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Birdies+Indoor+Golf+%26+Bar/data=!4m7!3m6!1s0x88248d544fbf6b4b:0x9647321678850c8c!8m2!3d42.8413391!4d-83.2724304!16s%2Fg%2F11fk3_zvvt!19sChIJS2u_T1SNJIgRjAyFeBYyR5Y?authuser=0&hl=en&rclk=1,Birdies Indoor Golf & Bar,980 N Lapeer Rd,Indoor golf course,Indoor golf course,·,,·,980 N Lapeer Rd,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-gGWM25CfOCn3WpEcdhUngdp9v_O1ZjJrFPL7Uqmt1-XAAUuQOK5SgppJhcerLm6En2AIPtypBfqUCkuV63xnLow3GiGnxvs3bqPIoHrYMti7gjnX4gKmhp0yz9szF5a3-dkx=w80-h164-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Simulator was in good shape and had everything we needed.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Birds+Golf+Sports+Lounge/data=!4m7!3m6!1s0x882c2b2bae26e3d3:0xd70ca87aaafcd9dc!8m2!3d42.8586202!4d-80.7261625!16s%2Fg%2F11tdfc4md3!19sChIJ0-MmrisrLIgR3Nn8qnqoDNc?authuser=0&hl=en&rclk=1,Birds Golf Sports Lounge,51 Broadway St,Indoor golf course,4,-31,Indoor golf course,·,,51 Broadway St,,Open,⋅ Closes 12 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDl0tIYWNrWotLIjHtqYVJ7otAlvO5CI-PiqQJo5rrLot3edRW0fVQh-800dFFuLVDgB2RMRIZV60jD8oa58Yhqgl4bQD2lzccWAbWGdF43QK0fjI0VrFF7QyLQZXaAkp7xvY=w122-h92-k-no,,Dine-in,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Blackthorn+Golf+Academy/data=!4m7!3m6!1s0x88112da53398fb4d:0x82bce25f2c5d4283!8m2!3d41.7211866!4d-86.3337546!16s%2Fg%2F11n12gym9c!19sChIJTfuYM6UtEYgRg0JdLF_ivII?authuser=0&hl=en&rclk=1,Blackthorn Golf Academy,6100 Nimtz Pkwy #6111,Golf instructor,·,,·,6100 Nimtz Pkwy #6111,Open,⋅ Closes 7 p.m.,https://lh3.googleusercontent.com/p/AF1QipNsTqEb-8TSloR8T_zKNKaOAkbtbgC4-Jy285M=w80-h99-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Only had 2 lessons but in those 2 lessons I've already learned so much.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Blue+Skies+Fore+Ever/data=!4m7!3m6!1s0x883b822377c3234f:0x40904d7dfdaa4491!8m2!3d41.711979!4d-83.498938!16s%2Fg%2F113glzbqr!19sChIJTyPDdyOCO4gRkUSq_X1NkEA?authuser=0&hl=en&rclk=1,Blue Skies Fore Ever,1965 Shoreland Ave,Indoor golf course,Indoor golf course,·,,·,1965 Shoreland Ave,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipO7dZgvjavXHHTi7eYKx4wWjhJ-WKMHnv7xOcG0=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Great indoor golf very friendly staff..a hidden treasure..""",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bogey%27s+Indoor+Golf+Center/data=!4m7!3m6!1s0x88272b4ccbf26979:0xc1aa7e3315162d01!8m2!3d44.2808868!4d-83.4913039!16s%2Fg%2F11pyr2ly25!19sChIJeWnyy0wrJ4gRAS0WFTN-qsE?authuser=0&hl=en&rclk=1,Bogey's Indoor Golf Center,106 W Westover St,Indoor golf course,·,,·,106 W Westover St,Open,⋅ Closes 12 a.m.,https://lh3.googleusercontent.com/p/AF1QipMnXm62u4GJ9QAyl8EFpOlqUUOhAuoxO7nLV3GR=w138-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""The equipment, hospitality, and setup were all top-notch.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bogey%27s+Indoor+Golf+of+Alpena/data=!4m7!3m6!1s0x4d335fd46f9ab769:0x716f3dacffcc7fb9!8m2!3d45.0619261!4d-83.4924478!16s%2Fg%2F11vjpjlf83!19sChIJabeab9RfM00RuX_M_6w9b3E?authuser=0&hl=en&rclk=1,Bogey's Indoor Golf of Alpena,2060 M-32,Indoor golf course,·,,·,2060 M-32,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipPnVIYvZLl0oMAX-W2Lvh-E_7qWF5TQ93qHZLpV=w109-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Really nice sims.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Breakfast+Ball+Golf+Sim/data=!4m7!3m6!1s0x8824bd613c9efe75:0x82e0bf5cd533d6bd!8m2!3d42.6604281!4d-83.4189086!16s%2Fg%2F11wg2dyb7t!19sChIJdf6ePGG9JIgRvdYz1Vy_4II?authuser=0&hl=en&rclk=1,Breakfast Ball Golf Sim,6650 Highland Rd Suite 113,Indoor golf course,·,,,-19,·,,·,6650 Highland Rd Suite 113,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipOzKilU0zU8qHKRbC9g42Bj9X599ilWdaUqQjaV=w123-h92-k-no,"""Bonus that the technology used is Trackman and good for all ages and skill!""","""Bonus that the technology used is Trackman and good for all ages and skill!""",https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bunker+in+the+bend/data=!4m7!3m6!1s0x882f3b030e6133db:0x2cc7a7c9f43e4e56!8m2!3d43.3065339!4d-81.7623378!16s%2Fg%2F11pzx5ldhs!19sChIJ2zNhDgM7L4gRVk4-9Mmnxyw?authuser=0&hl=en&rclk=1,Bunker in the bend,99 Ontario St S,Indoor golf course,·,,·,99 Ontario St S,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqIu6yAgM6jwxdQ7CGC9fAl0wOXFOLJEl85HzAyy1X8ot0CS5qv60-Mr8YIqsd0i52sZvpxrY6Jm5mteaLiQx9vghRHlDdjvtu01JbBz0pqjTfFZpDMksrQTAYUpRGTKNwA2jfl=w122-h92-k-no,,Dine-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bunkers+Indoor+Golf+-+Dundee/data=!4m7!3m6!1s0x882c0b06ef631869:0xb7f5aa523f3bcffc!8m2!3d43.3730539!4d-80.5594555!16s%2Fg%2F11pcblr0mv!19sChIJaRhj7wYLLIgR_M87P1Kq9bc?authuser=0&hl=en&rclk=1,Bunkers Indoor Golf - Dundee,1801 Queen St,Indoor golf course,5,-7,Indoor golf course,·,,1801 Queen St,,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/p/AF1QipOXY0rffUrsTYQYZUAZ6qTztXLjJkGpshnibbnX=w137-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Course selection is limited but a good variety of courses.""",,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/C.J.+Barrymore%27s+Golf+Dome/data=!4m7!3m6!1s0x882521788c0e54e5:0xc5e961a68efb6c2c!8m2!3d42.6270022!4d-82.8938161!16s%2Fg%2F11h5_y7rlt!19sChIJ5VQOjHghJYgRLGz7jqZh6cU?authuser=0&hl=en&rclk=1,C.J. Barrymore's Golf Dome,22070 Hall Rd,Golf driving range,·,,·,22070 Hall Rd,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJp-hjz3J_zK22RgZzJa3kfDgIQSXMInG4sZs97AE3jWHtfurRc-0aU2qviH2whyqjslv86zTW08swEdFfIBkemK4N6gx9-BSGm91M4almoYfMcvRESPPjCnymXIMlibUB7beE=w137-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""It has an",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.google.ca/maps/place/Canteen+Golf+%26+Billiards,+Inc./data=!4m7!3m6!1s0x8824df00f0f10269:0x37e8fa74995b19f3!8m2!3d42.6032193!4d-82.9546108!16s%2Fg%2F11v6sklynr!19sChIJaQLx8ADfJIgR8xlbmXT66Dc?authuser=0&hl=en&rclk=1","Canteen Golf & Billiards, Inc.",41701 Garfield Rd,Indoor golf course,·,,,-140,·,,·,41701 Garfield Rd,Closed,⋅ Opens 6 p.m.,https://lh3.googleusercontent.com/p/AF1QipNuTRp0i_sixDEJHPZpT_nlT8XO3jkiadDwuLYH=w122-h92-k-no,Onsite services,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Cattails+Golf+Club/data=!4m7!3m6!1s0x882355dd1b41ebe9:0x111c10884c77402f!8m2!3d42.4439888!4d-83.619461!16s%2Fg%2F1tdzrrv5!19sChIJ6etBG91VI4gRL0B3TIgQHBE?authuser=0&hl=en&rclk=1,Cattails Golf Club,57737 9 Mile Rd #9708,Golf club,·,,·,57737 9 Mile Rd #9708,Open,⋅ Closes 7 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no8uVC_lNVJ0LcBW7XlvWzhOEYpqAbAHDPQ4nSdZXzq_uWbEO_4QEqaYOXULjLCMlkJmBbGka8h9RjBviMkU7utolLx7kQ7QDAql36OsHUd9IOTVJB0Kumy7fg8V5PRL9_oReOw=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""It’s challenging, scenic, reasonably priced and has a lot of great holes.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Chemung+Hills+Golf+Club+%26+Banquet+Center/data=!4m7!3m6!1s0x8823471f807baa53:0x98b34baaf55f2180!8m2!3d42.6028751!4d-83.8903279!16s%2Fg%2F1tc_4q9z!19sChIJU6p7gB9HI4gRgCFf9apLs5g?authuser=0&hl=en&rclk=1,Chemung Hills Golf Club & Banquet Center,3125 Golf Club Rd,Golf course,·,,·,3125 Golf Club Rd,Open,⋅ Closes 9 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPW2juxienpEcK8yso-mEeuEBaSXSMgEnoyu8zyFNs5oAlUVcEdDwWtz73yX0yxZ1IV-IX5HQ9IaUPt47dFM_ijrN0KGwb9tG1977-mEeSyonPwkxiCrBpuBJs15V5182PKmZ7Pg=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""The greens are undulating and at times very fast.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Club24+Mini+Golf/data=!4m7!3m6!1s0x88241b7117fdd567:0x22550f542e66d347!8m2!3d43.4723523!4d-83.3869933!16s%2Fg%2F11s2nvk1s5!19sChIJZ9X9F3EbJIgRR9NmLlQPVSI?authuser=0&hl=en&rclk=1,Club24 Mini Golf,1354 Mertz Rd,Miniature golf course,·,,·,1354 Mertz Rd,Open,⋅ Closes 9 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np_pCa4-_BWVkVE2U694vUd0TlUZfk9a0wdDVXqGxEnBBZ9S-PQqVlScPeebra-41QTJ4Ty2TPXx_b4C5orr0Va_LPXMZKvsJdvPOZGhGDOCVtbn0Gfe-Ml-5MwiECTmCUzeYbfug=w80-h106-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""The course is low frills but still challenging and a lot of fun.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Cobblestone+Indoor+Golf/data=!4m7!3m6!1s0x88237bc95b2f6069:0x24823989bcd8feba!8m2!3d42.9164047!4d-83.6919033!16s%2Fg%2F11lczjdymx!19sChIJaWAvW8l7I4gRuv7YvIk5giQ?authuser=0&hl=en&rclk=1,Cobblestone Indoor Golf,7492 Fenton Rd,Indoor golf course,,·,,5,-2,·,,·,7492 Fenton Rd,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/p/AF1QipN6ZNZw8LJjKUhbEFJNfeQY5mNV9eI3qCNjU8sf=w122-h92-k-no,"""Great choices of courses and very easy to set up.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Cops+%26+Robbers+Great+Escape+-+Mini+Golf+%26+Ice+Cream/data=!4m7!3m6!1s0x88239dcd4879f64f:0x32c67d87c0e1f43!8m2!3d43.0394778!4d-83.77864!16s%2Fg%2F11h0hpzldz!19sChIJT_Z5SM2dI4gRQx8OfNhnLAM?authuser=0&hl=en&rclk=1,Cops & Robbers Great Escape - Mini Golf & Ice Cream,5154 Flushing Rd,Miniature golf course,·,,·,5154 Flushing Rd,Open,⋅ Closes 9 p.m.,https://lh3.googleusercontent.com/p/AF1QipMn1Tva2etinPkhaevTj4yEQ1Vj3VgdXfU_Tbff=w163-h92-k-no,,Onsite services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Custom+Indoor+Golf+Simulators/data=!4m7!3m6!1s0x882ef1838625c4e9:0xe4ae4ce88d0fd1d8!8m2!3d42.9980083!4d-81.3314531!16s%2Fg%2F11vx3c97t7!19sChIJ6cQlhoPxLogR2NEPjehMruQ?authuser=0&hl=en&rclk=1,Custom Indoor Golf Simulators,1553 Hyde Park Rd unit 7,Golf shop,,,Golf shop,·,,1553 Hyde Park Rd unit 7,,Closed,⋅ Opens 8 a.m. Fri,https://lh3.googleusercontent.com/p/AF1QipPzv0MxZwDKLja8iS-k4vd7JOUmBBCqDRxov2rp=w80-h106-k-no,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/DeWitt+Golf+Center/data=!4m7!3m6!1s0x8822ec362bbe4b37:0x1312afa46e84cb69!8m2!3d42.8430422!4d-84.5445431!16s%2Fg%2F1tdlvwyb!19sChIJN0u-KzbsIogRacuEbqSvEhM?authuser=0&hl=en&rclk=1,DeWitt Golf Center,11890 Old U.S. 27,Golf driving range,Golf driving range,·,,·,11890 Old U.S. 27,Open,⋅ Closes 8 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCowH8TA8ldu0WsVAmJKqkYNMd8UQYG9higunNSh86J55GMbnIeLARgCicvoXx23jX6MgRv8DS9XwNmv3DOSvD8WWd4MzBytQu-YreY0guXTXVmQOATuGth6bn6h9b2lm9Tg-kdA=w80-h106-k-no,,Onsite services,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Dirty+Birdie/data=!4m7!3m6!1s0x883b6f747e39a4af:0x84bab25abad89809!8m2!3d41.9470422!4d-83.388333!16s%2Fg%2F11y8bcm0vc!19sChIJr6Q5fnRvO4gRCZjYulqyuoQ?authuser=0&hl=en&rclk=1,Dirty Birdie,2121 N Monroe St Suite 560,Indoor golf course,,·,,4.7,-27,·,,·,2121 N Monroe St Suite 560,Closed,⋅ Opens 4 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTHGrIK2A_J5ihDn8VY7OOIYtf7DZCnYBwfY9Az4RLRPKQ_ibEgFfjfoHZGOpLadTCHapsuWbscCIh1i5ny3u4o53ltcyEb8VPbMDKZg8WCA2jGuVyesH3zdj4PSc4xPJOVeWpMzmXCjY=w122-h92-k-no,Onsite services,,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Downriver+Golf+Factory/data=!4m7!3m6!1s0x883b3f2da6681f39:0xacff2fc641b55c1a!8m2!3d42.0946348!4d-83.1951466!16s%2Fg%2F11j8z_k146!19sChIJOR9opi0_O4gRGly1QcYv_6w?authuser=0&hl=en&rclk=1,Downriver Golf Factory,13990 Middle Gibraltar Rd,Golf instructor,Golf instructor,·,,·,13990 Middle Gibraltar Rd,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipNb6BlslvbJxxvEYENIPH_Xf47yvgAqQ8EH5AEk=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""It was super clean and the instructors were both super nice and friendly.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
