"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","A1zNzb href","J8zHNe","ah5Ghc 2","Jn12ke src"
"https://www.google.ca/maps/place/The+Lab+Golf+Indoor+Golf+Studios/data=!4m7!3m6!1s0x808ff36b5e82f433:0xef710df9bb25d10b!8m2!3d37.7836415!4d-121.9679743!16s%2Fg%2F11sqchlqpv!19sChIJM_SCXmvzj4ARC9Elu_kNce8?authuser=0&hl=en&rclk=1","The Lab Golf Indoor Golf Studios","4.9","(61)","Indoor golf course","·","","·","3420 Fostoria Way A101","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipPloJFtWmRATQVfCNcXlQMstaOgP3i_IWWlBS54=w163-h92-k-no","","","","",""
"https://www.google.ca/maps/place/Links+Club/data=!4m7!3m6!1s0x808de7ff05fd7687:0x515329ecde5eff9b!8m2!3d36.5546301!4d-121.9208335!16s%2Fg%2F11h8520n1w!19sChIJh3b9Bf_njYARm_9e3uwpU1E?authuser=0&hl=en&rclk=1","Links Club","4.0","(48)","Indoor golf course","·","","·","Ocean Avenue &, Mission St Suite 101","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipN4I73CUG5Xc3TOz_PjjD9uhFtRltZY4ESqRGgL=w163-h92-k-no","Dine-in","https://www.golfnow.com/tee-times/facility/19461/search?utm_source=google&utm_medium=organic&utm_campaign=reserve&utm_content=primary&hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsoa93edc25dBbBDVv8rQy1jd5QOwZeRxMt6fgDHi7-g-8OOjWfriF3a7axMULGWjHAWQ_h0pCECHjBSUcB60lbfZ8-TAWA%3D%3D","Book online","Curbside pickup",""
"https://www.google.ca/maps/place/Precision+Golf+Centers/data=!4m7!3m6!1s0x80dd4b24004d3e6b:0xadef331be02df3c!8m2!3d33.8205657!4d-118.352169!16s%2Fg%2F11ffv31pcz!19sChIJaz5NACRL3YARPN8CvjHz3go?authuser=0&hl=en&rclk=1","Precision Golf Centers","4.9","(26)","Indoor golf course","·","","·","22761 Hawthorne Blvd","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipOpjOdzMc0zN_4dCN5-VS_xdmANre-1SSahWCbw=w80-h99-k-no","","https://foreupsoftware.com/index.php/booking/19876/3138?hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsoaQT3T1FcDIhmNyBqjwpLm-1nTa_2czV1M3Jlv875eKFtJKezSdDd5uo_Gmy_HJEJeWB6ADPe6gbLpUWpVrXegvl3I4oA%3D%3D#/teetimes?merchant_id=19876","Book online","",""
"https://www.google.ca/maps/place/Birdie+Club/data=!4m7!3m6!1s0x80c2bb36f624a55b:0x9b07d230f1dd2117!8m2!3d34.0427931!4d-118.4304138!16s%2Fg%2F11srgykd5t!19sChIJW6Uk9ja7woARFyHd8TDSB5s?authuser=0&hl=en&rclk=1","Birdie Club","4.9","(31)","Indoor golf course","·","","·","2288 Westwood Blvd Suite 100","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9vgOzvzy0yaum7bdpqyMpQ0M-H04250qDnvxAO_S-crZhm-rTQduCIVo1QTSgftiGYpqhqMw_Kcu7V4_oFH8cj03B2Yxu1npyoAQo-9Llfp4KAV580MfHwKPJVSYZfcmm3hM_x=w122-h92-k-no","","https://www.golfnow.com/tee-times/facility/19541/search?utm_source=google&utm_medium=organic&utm_campaign=reserve&utm_content=primary&hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsoYYVoyutfrjq2OGls9suKwJJF8L_6TiCgXWqwWKlSdGO3F1g4tZVWKLnDIld7W-3TJd-Ln7BvcAolxRYoUVP8iFWwAVkQ%3D%3D","Book online","",""
"https://www.google.ca/maps/place/SG+Golf/data=!4m7!3m6!1s0x80dd2b3a3a172fab:0x3e917e08ae309b85!8m2!3d33.8743772!4d-117.9860817!16s%2Fg%2F11vz2hylhr!19sChIJqy8XOjor3YARhZswrgh-kT4?authuser=0&hl=en&rclk=1","SG Golf","5.0","(31)","Indoor golf course","·","","·","5940 Dale St","Open","⋅ Closes 12 a.m.","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-UbM4Hmu66t6C238tqryhdYUDd3m0GTV5Ar4yNdQRJhVCmoJZya7RKgILfc2MpaB12dlHj4JGEX1hB_KF8nvSACFv_pytD7CHcqCHw9iMu56Q8RsQmkw2kW3OJuyJvlWqClNb1=w122-h92-k-no","","https://www.golfnow.com/tee-times/facility/19499/search?utm_source=google&utm_medium=organic&utm_campaign=reserve&utm_content=primary&hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsoZs5iBhwem1dRj_OVet-23o0iySK8FOdakHHc5ZWeIQA1zgsnq1R3t98tjmqRrcfT8WreeW0FJ2tCe9m2wPOULHkotzLA%3D%3D","Book online","",""
"https://www.google.ca/maps/place/Links+52+Golf+Club+%26+Social/data=!4m7!3m6!1s0x80c3312f4bf46919:0x5dd8215a35471513!8m2!3d34.0881043!4d-117.6748609!16s%2Fg%2F11tcz7prdc!19sChIJGWn0Sy8xw4ARExVHNVoh2F0?authuser=0&hl=en&rclk=1","Links 52 Golf Club & Social","4.7","(31)","Indoor golf course","·","","·","1380 W 7th St","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipOugaqLU7NiNa6nYdzCk0HFEEAi07pFkllaieoM=w92-h92-k-no","","https://foreupsoftware.com/index.php/booking/22326/10410?hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsob8cHFDtHpDXtxQBD76qiJ1RYRR-4By3srI7kfoJx1F5nVgcbKsQoGz1p9Vocz-Hm1AeIBX3q95JTenlrTKtWNk2iSebg%3D%3D#/teetimes?merchant_id=22326","Book online","",""
"https://www.google.ca/maps/place/The+City+Golf/data=!4m7!3m6!1s0x80c2c766895f0c47:0xdbc4c0a3544d20e0!8m2!3d34.0631484!4d-118.2984695!16s%2Fg%2F11rxw4p_b1!19sChIJRwxfiWbHwoAR4CBNVKPAxNs?authuser=0&hl=en&rclk=1","The City Golf","4.6","(42)","Indoor golf course","·","","·","3500 W 6th St #238","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipMUrAm0ud8ykjg1xhW8LEPmhSfP7Ykzfa3DP05Y=w122-h92-k-no","Onsite services","","","",""
"https://www.google.ca/maps/place/Urban+Fairway+Golf/data=!4m7!3m6!1s0x808f79002e87676f:0x152c1dc9a6fe1165!8m2!3d37.6656956!4d-122.3839919!16s%2Fg%2F11vm474xkn!19sChIJb2eHLgB5j4ARZRH-pskdLBU?authuser=0&hl=en&rclk=1","Urban Fairway Golf","5.0","(57)","Indoor golf course","·","","·","384 Oyster Point Blvd #7","Open","⋅ Closes 9 p.m.","https://lh3.googleusercontent.com/p/AF1QipPmHcfoxsan6dU06T7JnjyiESnoAu6zz8J4HYYy=w163-h92-k-no","","https://www.google.com/maps/reserve/appt/place/ChIJb2eHLgB5j4ARZRH-pskdLBU/mid/%2Fg%2F11vm474xkn?hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&sourceurl=https://www.google.ca/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dca%26pb%3D!4m9!1m3!1d15891.043600181529!2d-79.6557312!3d43.4864128!2m0!3m2!1i1032!2i527!4f13.1!7i20!10b1!12m24!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m3!5e2!6b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m5!1s4pj9Z4nEK_-KptQP94SIUA:130!2s1i:0,t:150715,p:4pj9Z4nEK_-KptQP94SIUA:130!7e81!12e3!17s4pj9Z4nEK_-KptQP94SIUA:134!24m108!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_reviews!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b1!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i527!1m6!1m2!1i982!2i0!2m2!1i1032!2i527!1m6!1m2!1i0!2i0!2m2!1i1032!2i20!1m6!1m2!1i0!2i507!2m2!1i1032!2i527!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i729%26q%3Dindoor%2Bgolf%2Bcourse%2Bnear%2BCalifornia,%2BUSA%26nfpr%3D1%26ech%3D1%26psi%3D4pj9Z4nEK_-KptQP94SIUA.1744672994861.1","Book online","",""
"https://www.google.ca/maps/place/Swing+Factory+Golf/data=!4m7!3m6!1s0x80c2c7eafbaa46f1:0xa7a4d4ba4523d62d!8m2!3d34.0448295!4d-118.2552731!16s%2Fg%2F11vsphxq1j!19sChIJ8Uaq--rHwoARLdYjRbrUpKc?authuser=0&hl=en&rclk=1","Swing Factory Golf","5.0","(77)","Indoor golf course","·","","·","742 S Hill St Suite 500","Closed","⋅ Opens 12 p.m. Wed","https://lh3.googleusercontent.com/p/AF1QipM0R3gqwxFKgxed80bQGFqHxGxs2SqSRFjJ645O=w138-h92-k-no","","https://www.google.com/maps/reserve/appt/place/ChIJ8Uaq--rHwoARLdYjRbrUpKc/mid/%2Fg%2F11vsphxq1j?hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&sourceurl=https://www.google.ca/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dca%26pb%3D!4m9!1m3!1d15891.043600181529!2d-79.6557312!3d43.4864128!2m0!3m2!1i1032!2i527!4f13.1!7i20!10b1!12m24!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m3!5e2!6b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m5!1s4pj9Z4nEK_-KptQP94SIUA:130!2s1i:0,t:150715,p:4pj9Z4nEK_-KptQP94SIUA:130!7e81!12e3!17s4pj9Z4nEK_-KptQP94SIUA:134!24m108!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_reviews!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b1!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i527!1m6!1m2!1i982!2i0!2m2!1i1032!2i527!1m6!1m2!1i0!2i0!2m2!1i1032!2i20!1m6!1m2!1i0!2i507!2m2!1i1032!2i527!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i729%26q%3Dindoor%2Bgolf%2Bcourse%2Bnear%2BCalifornia,%2BUSA%26nfpr%3D1%26ech%3D1%26psi%3D4pj9Z4nEK_-KptQP94SIUA.1744672994861.1","Book online","",""
"https://www.google.ca/maps/place/Swing+Center+Indoor+Golf/data=!4m7!3m6!1s0x8090512b6689f80f:0xf13b78ba87897728!8m2!3d37.7006874!4d-121.0643675!16s%2Fg%2F11t31d1tt0!19sChIJD_iJZitRkIARKHeJh7p4O_E?authuser=0&hl=en&rclk=1","Swing Center Indoor Golf","4.9","(47)","Indoor golf course","·","","·","3801 Pelandale Ave Suite F3","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9j0c8gdN5bPBe4Mkwttffs-6DB3gSHjW5QFFfWbbvgmnObH0yDu5DqNw2QwRjUu7W9-p__wTrOoyxyGLvAR69vyhh-g9GGFR6GmP5OwQkw3wFlNcEvZy4IJph_7wzX0sSaoiYVDg=w80-h106-k-no","","","","",""
"https://www.google.ca/maps/place/The+Golf+Bar/data=!4m7!3m6!1s0x80dd274c03777adb:0xfa1c68c772043f8f!8m2!3d33.7330991!4d-117.9925556!16s%2Fg%2F11vxtkmftc!19sChIJ23p3A0wn3YARjz8EcsdoHPo?authuser=0&hl=en&rclk=1","The Golf Bar","5.0","(23)","Indoor golf course","·","","·","7801 Edinger Ave #122","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8hlTCNcmG08rUSK0p5VputBfanoLN_ZX2lsKJ6QJkSCi3M_l9yD0edKi1QoL3kL9lv34hLsrSKV4kMSi1cYVOuAu2DJvpm4XafS2WrPc4seM9F9_rUQdVLrtYyZjXeXtOjaRg=w80-h106-k-no","Dine-in","","","Takeout",""
"https://www.google.ca/maps/place/Golf+Plus+La+Mirada/data=!4m7!3m6!1s0x80dd2b0402baa419:0xe5957be863bd75d3!8m2!3d33.8952299!4d-118.0077482!16s%2Fg%2F11v3qdl3j0!19sChIJGaS6AgQr3YAR03W9Y-h7leU?authuser=0&hl=en&rclk=1","Golf Plus La Mirada","4.9","(30)","Indoor golf course","·","","·","15020 La Mirada Blvd","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipPwe6OGIIWfkiC8hinhnggP46bvuXkU_t06qCk0=w122-h92-k-no","Onsite services","https://www.golfnow.com/tee-times/facility/19282/search?utm_source=google&utm_medium=organic&utm_campaign=reserve&utm_content=primary&hl=en-CA&gei=75j9Z9uVN7euptQP4pSc6Qk&rwg_token=AAiGsoauqbLJN48ou0-NCltSL8r6dF10Fk23R9R0wjeuN5q-VXiWt711_96dgkTkZPB7hpphGZxBijnQWbPIr8suXaGCoyJOdA%3D%3D","Book online","",""
"https://www.google.ca/maps/place/The+Golf+Lounge/data=!4m7!3m6!1s0x80e915631b5129a7:0x18d4a72a3653f04e!8m2!3d34.4375441!4d-119.7262199!16s%2Fg%2F11lty_dlfh!19sChIJpylRG2MV6YARTvBTNiqn1Bg?authuser=0&hl=en&rclk=1","The Golf Lounge","5.0","(16)","Indoor golf course","·","","2840 De La Vina St","","Open","⋅ Closes 8:30 p.m.","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8c3rE8NXxQqMo8FoEwnLkBLKb8yVD9-kmomTJWod2oNsP_J8BwWJFVNf1_jwnEzyPuZQWjPqxYkafhVrBWda7RS8eJtkjOYWN1INetrmjlUp_QIVfkYrtvtGSuUqT52QE98r3T=w80-h106-k-no","""Overall, their simulators were great, nice environment and a fun experience.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.ca/maps/place/XP+Golf/data=!4m7!3m6!1s0x809b21a710adbc2f:0x1d03b3b7dd8cdd58!8m2!3d38.7971634!4d-121.2894893!16s%2Fg%2F11ks70tvkj!19sChIJL7ytEKchm4ARWN2M3bezAx0?authuser=0&hl=en&rclk=1","XP Golf","5.0","(44)","Indoor golf course","·","","·","6835 Lonetree Blvd #104","Open 24 hours","","https://lh3.googleusercontent.com/p/AF1QipNIcag1egozPUoo5ey0Xzh-WJGoV2oYWGBRLKBK=w137-h92-k-no","""Quality simulators with pretty accurate numbers and a great time!""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.ca/maps/place/Swingeasy+Golf+Club+-+Monrovia/data=!4m7!3m6!1s0x80dd211c355b4167:0x6bd0a124841e6322!8m2!3d33.6372157!4d-117.9380606!16s%2Fg%2F11t6w299qn!19sChIJZ0FbNRwh3YARImMehCSh0Gs?authuser=0&hl=en&rclk=1","Swingeasy Golf Club - Monrovia","5.0","(18)","Indoor golf course","·","","·","1725 Monrovia Ave D-2","Open","⋅ Closes 10 p.m.","https://lh3.googleusercontent.com/p/AF1QipOSuY39Q7yQZ3zQP-IcpuR2Y2s9Mnxu-5l6P-ux=w80-h106-k-no","""The owner was very nice and the simulator was super realistic.""","https://www.mindbodyonline.com/explore/locations/swingeasy-golf-club-39a978c2?hl=en-CA&gei=_Jj9Z67DCr_sptQPsYy0mQI&rwg_token=AAiGsobJYPzOCkfwYN5MP905juyV4xbB__JGLZoCBMiwF77BgrDzJGPaLbTLxWxQJzUP5ZQ9-u9kHTLaey53Q8pxhpD_ykt4RQ%3D%3D","Book online","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
