id,keyword,Name,Address,city,postal,state,country,region,website link,website short,contact,featured,bar,food,lessons,leagues,24hrs,bays,Notes,details_desc,facility_img,facility_img2,facility_img3,facility_img4,map_link,active,facility_slug,rating,reviews,,,,,,,,
https://www.google.ca/maps/place/Athletify/data=!4m7!3m6!1s0x882ad3fc95520f2d:0x1a4404cfb618fb65!8m2!3d44.0359972!4d-79.4736342!16s%2Fg%2F11c0rntqg1!19sChIJLQ9SlfzTKogRZfsYts8ERBo?authuser=0&hl=en&rclk=1,Physio Therapy,Athletify,·,16715 Yonge St Unit 22,5,-93,Indoor golf course,·,,·,16715 Yonge St Unit 22,Open,⋅ Closes 9 p.m.,https://lh3.googleusercontent.com/p/AF1QipMXWSlmMwpYydR0ZlByHuuLolZ-QU5QiqRIZTyL=w138-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Major bonus that there are golf simulators and you can work on your swing!""",,,,,,,,,,,,,,,,,,,,,
loaded,Updated,Back Nine HD Golf Inc.,7170 W Credit Ave,Mississauga,L5N 7E5,ont,can,gta_west,http://back-nine.ca/,back-nine.ca,(905) 814-6464,0,1,1,1,0,0,9,"""The staff are excellent and the facilities very clean and well kept.""",,uploads/BackNineMain.webp,uploads/BackNine2.webp,uploads/BackNine3.webp,uploads/BackNine4.webp,,1,Back Nine HD Golf Inc.,4.4,-168,,,,,,,,
https://www.google.ca/maps/place/Back9+Indoor+Golf/data=!4m7!3m6!1s0x4cd2addf18919c87:0xab46107a3de8dca5!8m2!3d44.276127!4d-76.5595299!16s%2Fg%2F11wy7gwry3!19sChIJh5yRGN-t0kwRpdzoPXoQRqs?authuser=0&hl=en&rclk=1,Bad website link,Back9 Indoor Golf,1325 Centennial Dr #17,,5,-2,Indoor golf course,·,,,,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npHJHXUh17a9qsjjFGgdtCAoJLbNIfn4Ixp6BTPfdV-dottw2Oz5JVQcVZBnccqszv7o2avSYKQY953Sul-wnzGF4s1R4f-Nvgk_fvpwGOezdZXOjEh_tkwIv9jEtvhQ2ge--HuST4_R0g=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Guys had alot fun, great facilities and friendly staff.""",,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Ball+Smackers+Training+Lounge/data=!4m7!3m6!1s0x882bf5042c80c119:0x3e0e60e7b654302a!8m2!3d43.441459!4d-80.4738456!16s%2Fg%2F11ww798976!19sChIJGcGALAT1K4gRKjBUtudgDj4?authuser=0&hl=en&rclk=1,Martial Arts Mainly,Ball Smackers Training Lounge,50 Ottawa St S,,5,-6,·,,50 Ottawa St S,,,,https://lh3.googleusercontent.com/p/AF1QipPQoh1zrsvG2J6Mlz9jAystFNJ554eIQrrKRtvq=w122-h92-k-no,"""I loved playing on the high tech golf simulator with a nice interior.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bar+billards+O%27Mulligan%27s/data=!4m7!3m6!1s0x4cce1087b7d4230b:0x40ab2cf0a4005269!8m2!3d45.4891667!4d-75.5991667!16s%2Fg%2F1tg5z7xw!19sChIJCyPUt4cQzkwRaVIApPAsq0A?authuser=0&hl=en&rclk=1,More billiards,Bar billards O'Mulligan's,·,889 Boulevard Maloney E,4,-65,Indoor golf course,·,,,,Open,⋅ Closes 3 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsrnRz_5UxcHUL3zwzXQbG4vG8lS2wUCdHkiPh3W5iPkEpOBz85pDNVqSETInv2DC2A15Sd2iT1CmsP7gymakBOKnuPh-n_3paO8J2nXd_7ZAiJY0s3ZRF2rcs4biR2casHhCFng=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""They even have darts and a virtual type golf game.""",,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Birdie+Buddies+Golf/data=!4m7!3m6!1s0x882b950dcda2d75f:0xfff1cbc5e05a773b!8m2!3d43.6792606!4d-80.432883!16s%2Fg%2F11wwm8x7qy!19sChIJX9eizQ2VK4gRO3da4MXL8f8?authuser=0&hl=en&rclk=1,Updated,Birdie Buddies Golf,6512 Wellington Rd 7,,4.7,-40,·,,6512 Wellington Rd 7,,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMRh8O0A_gmXOQ2JIep9gZFTCW37H1t7fQCk25Z=w92-h92-k-no,"""Great experience, can’t beat the price!""",https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Birdies+Indoor+Golf/data=!4m7!3m6!1s0x882b5dde3e5579cb:0xb01eeec1442948ca!8m2!3d43.4683388!4d-79.6796774!16s%2Fg%2F11wx8wtqbn!19sChIJy3lVPt5dK4gRykgpRMHuHrA?authuser=0&hl=en&rclk=1,Updated,Birdies Indoor Golf,504 Iroquois Shore Rd Unit 8,Oakville,L6H 3K4,ont,can,gta_west,https://www.birdiesindoorgolf.ca/,birdiesindoorgolf.ca,info@birdiesindoorgolf.ca,0,0,0,0,1,1,8,,,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2895.6291571604215!2d-79.6796774!3d43.4683388!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b5dde3e5579cb%3A0xb01eeec1442948ca!2sBirdies%20Indoor%20Golf!5e0!3m2!1sen!2sca!4v1741731623161!5m2!1sen!2sca,1,,4.9,-18,Indoor golf course,,,,,,,
https://www.google.ca/maps/place/Birdies+Indoor+Golf/data=!4m7!3m6!1s0x882b47619925ccf7:0x8e4bfe524caa6ec5!8m2!3d43.5925875!4d-79.595722!16s%2Fg%2F11mwkv08s2!19sChIJ98wlmWFHK4gRxW6qTFL-S44?authuser=0&hl=en&rclk=1,Updated,Birdies Indoor Golf,117-2465 Cawthra Rd,Mississauga,L5A 3P2,ont,can,gta_west,https://www.birdiesindoorgolf.ca/,birdiesindoorgolf.ca,info@birdiesindoorgolf.ca,0,0,0,0,1,1,4,,"""Everything is fully automated, and the facility is new and clean.""",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5779.340197149932!2d-79.595722!3d43.5925875!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b47619925ccf7%3A0x8e4bfe524caa6ec5!2sBirdies%20Indoor%20Golf!5e0!3m2!1sen!2sca!4v1741732212544!5m2!1sen!2sca,1,,4.7,-133,Indoor golf course,,,,,,,
https://www.google.ca/maps/place/Birdies+Indoor+Golf/data=!4m7!3m6!1s0x882b610053f6bc6f:0x745ded65d7df35!8m2!3d43.3732946!4d-79.8097514!16s%2Fg%2F11vk2h3jv4!19sChIJb7z2UwBhK4gRNd_XZe1ddAA?authuser=0&hl=en&rclk=1,Updated,Birdies Indoor Golf,1450 Headon Rd Unit 24-25,Burlington,L7M 3Z5,ont,can,gta_west,https://www.birdiesindoorgolf.ca/,birdiesindoorgolf.ca,burlington@birdiesindoorgolf.ca,0,0,0,0,1,1,9,,"""Vip rooms with 3 ways cameras and automatic tees are pretty neat features""",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2900.1783558692246!2d-79.8097514!3d43.3732946!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b610053f6bc6f%3A0x745ded65d7df35!2sBirdies%20Indoor%20Golf!5e0!3m2!1sen!2sca!4v1741732287917!5m2!1sen!2sca,1,,4.7,-87,Indoor golf course,,,,,,,
https://www.google.ca/maps/place/Birdies+Indoor+Golf+%26+Bar/data=!4m7!3m6!1s0x88248d544fbf6b4b:0x9647321678850c8c!8m2!3d42.8413391!4d-83.2724304!16s%2Fg%2F11fk3_zvvt!19sChIJS2u_T1SNJIgRjAyFeBYyR5Y?authuser=0&hl=en&rclk=1,Indoor golf course,Birdies Indoor Golf & Bar,·,980 N Lapeer Rd,4.7,-93,·,,·,980 N Lapeer Rd,Open,⋅ Closes 9 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-gGWM25CfOCn3WpEcdhUngdp9v_O1ZjJrFPL7Uqmt1-XAAUuQOK5SgppJhcerLm6En2AIPtypBfqUCkuV63xnLow3GiGnxvs3bqPIoHrYMti7gjnX4gKmhp0yz9szF5a3-dkx=w80-h164-k-no,"""Simulator was in good shape and had everything we needed.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Birds+Golf+Sports+Lounge/data=!4m7!3m6!1s0x882c2b2bae26e3d3:0xd70ca87aaafcd9dc!8m2!3d42.8586202!4d-80.7261625!16s%2Fg%2F11tdfc4md3!19sChIJ0-MmrisrLIgR3Nn8qnqoDNc?authuser=0&hl=en&rclk=1,More of a restaurant,Birds Golf Sports Lounge,51 Broadway St,,4,-31,·,,51 Broadway St,,Open,⋅ Closes 12 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDl0tIYWNrWotLIjHtqYVJ7otAlvO5CI-PiqQJo5rrLot3edRW0fVQh-800dFFuLVDgB2RMRIZV60jD8oa58Yhqgl4bQD2lzccWAbWGdF43QK0fjI0VrFF7QyLQZXaAkp7xvY=w122-h92-k-no,Dine-in,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Black+8+Golf/data=!4m7!3m6!1s0x882b2b6093701b65:0x769b509490369c98!8m2!3d43.8769382!4d-79.4147974!16s%2Fg%2F11vy0vj270!19sChIJZRtwk2ArK4gRmJw2kJRQm3Y?authuser=0&hl=en&rclk=1,Updated,Black 8 Golf,1070 Major Mackenzie Dr E H4,,4.3,-6,Indoor golf course,·,,1070 Major Mackenzie Dr E H4,,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOHseG22uDjoCbWX-nZ7-18j1z8jVELjHXZjPHN=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Fairway, rough and bunker matts that make practice even more realistic.""",,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Born+to+Golf/data=!4m7!3m6!1s0x882b2d0e5f2988d3:0xfd74b280f277d126!8m2!3d43.8150901!4d-79.4236907!16s%2Fg%2F11nccf_v0t!19sChIJ04gpXw4tK4gRJtF38oCydP0?authuser=0&hl=en&rclk=1,Updated,Born to Golf,7691 Yonge St,Thornhill,L3T 2C3,ont,can,gta_north,http://borntogolf.ca/,borntogolf.ca,info@borntogolf.ca,0,1,1,1,0,1,8,,"""Your indoor golf facility is exceptional for both playing and practicing.""",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2878.964772792474!2d-79.4236907!3d43.8150901!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b2d0e5f2988d3%3A0xfd74b280f277d126!2sBorn%20to%20Golf!5e0!3m2!1sen!2sca!4v1741732653388!5m2!1sen!2sca,1,,5,-459,Indoor golf course,,,,,,,
https://www.google.ca/maps/place/Brooklea+Golf+%26+Country+Club/data=!4m7!3m6!1s0x4d2ac44889ae3b91:0x2da52ac78632a94f!8m2!3d44.712189!4d-79.89384!16s%2Fg%2F1tf1bcww!19sChIJkTuuiUjEKk0RT6kyhscqpS0?authuser=0&hl=en&rclk=1,Golf Course,Brooklea Golf & Country Club,·,8567 ON-93,3.9,-108,Indoor golf course,·,,·,8567 ON-93,Open now,,https://lh3.googleusercontent.com/p/AF1QipNnjI8HGGmke942g4USKT8sJLwXHJFr_999IHPq=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""The course was in great shape and the staff was super friendly and helpful.""",,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Buddy+Plus+-+Indoor+Golf+Club/data=!4m7!3m6!1s0x882b2d6a80ac55f1:0xe21c13c378a7d719!8m2!3d44.0497718!4d-79.4802999!16s%2Fg%2F11vwmy9m7l!19sChIJ8VWsgGotK4gRGdeneMMTHOI?authuser=0&hl=en&rclk=1,Updated,Buddy Plus - Indoor Golf Club,17310 Yonge St Unit 9,,4.9,-84,Indoor golf course,·,,17310 Yonge St Unit 9,,Open,⋅ Closes 12 a.m.,https://lh3.googleusercontent.com/p/AF1QipOx4km3m1WvrbQCKb7ta14lrsRQs6BKq1EJDvYB=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""AMAZING Indoor screen golf facilities and great prices.""",,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bunker+in+the+bend/data=!4m7!3m6!1s0x882f3b030e6133db:0x2cc7a7c9f43e4e56!8m2!3d43.3065339!4d-81.7623378!16s%2Fg%2F11pzx5ldhs!19sChIJ2zNhDgM7L4gRVk4-9Mmnxyw?authuser=0&hl=en&rclk=1,Updated,Bunker in the bend,·,99 Ontario St S,4.9,-25,·,,·,99 Ontario St S,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqIu6yAgM6jwxdQ7CGC9fAl0wOXFOLJEl85HzAyy1X8ot0CS5qv60-Mr8YIqsd0i52sZvpxrY6Jm5mteaLiQx9vghRHlDdjvtu01JbBz0pqjTfFZpDMksrQTAYUpRGTKNwA2jfl=w122-h92-k-no,Dine-in,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Bunkers+Indoor+Golf+-+Beaverdale/data=!4m7!3m6!1s0x882b8fc13435bf85:0x24ed43c326868139!8m2!3d43.4625324!4d-80.3401528!16s%2Fg%2F11sb0rg91y!19sChIJhb81NMGPK4gROYGGJsND7SQ?authuser=0&hl=en&rclk=1,Updated,Bunkers Indoor Golf - Beaverdale,"1171 Kossuth Road, R.R. #21",Cambridge,N3H 4R6,ont,can,ont_southwest,http://www.golfnorth.ca/bunkers,golfnorth.ca/bunkers,bunkers.beaverdale@golfnorth.ca,0,1,1,1,1,0,3,,"Discover the perfect blend of golf and entertainment at Bunkers Indoor Golf, where you can perfect your swing, catch up on sports and socialize with your peers. Play, practice, and compete on our globally leading simulators with over 50 world-famous championship golf courses.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4870.274095152978!2d-80.344346953783!3d43.46305432022316!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b8fc13435bf85%3A0x24ed43c326868139!2sBunkers%20Indoor%20Golf%20-%20Beaverdale!5e0!3m2!1sen!2sca!4v1741903604451!5m2!1sen!2sca,1,,4.8,-6,,,,,,,,
,Updated,Bunkers Indoor Golf - Dundee,1801 Queen Street,New Dundee,N0B 2EO,ont,can,ont_southwest,https://golfnorth.ca/bunkers/,golfnorth.ca/bunkers/dundee,bunkers.dundee@golfnorth.ca,0,1,1,1,1,0,4,,"Discover the perfect blend of golf and entertainment at Bunkers Indoor Golf, where you can perfect your swing, catch up on sports and socialize with your peers. Play, practice, and compete on our globally leading simulators with over 50 world-famous championship golf courses.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13794.851066634195!2d-80.57517834312327!3d43.37681071044295!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882c0b06ef631869%3A0xb7f5aa523f3bcffc!2sBunkers%20Indoor%20Golf%20-%20Dundee!5e0!3m2!1sen!2sca!4v1741903772526!5m2!1sen!2sca,1,,,,,,,,,,,
,Updated,Bunkers Indoor Golf - Kingswellglen,4300 Garden Cres.,Petrolia,N0N 1R0,ont,can,ont_southwest,https://golfnorth.ca/bunkers/,golfnorth.ca/bunkers/kingswllglen,manager.kingswellglen@golfnorth.ca,0,1,1,1,1,0,2,,"Discover the perfect blend of golf and entertainment at Bunkers Indoor Golf, where you can perfect your swing, catch up on sports and socialize with your peers. Play, practice, and compete on our globally leading simulators with over 50 world-famous championship golf courses.",uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,uploads/no_image.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d66145.28831360878!2d-82.24087310396152!3d42.88895949227463!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882f81f455732a27%3A0xf81fecaf26f40d03!2sBunkers%20Indoor%20Golf%20-%20Kingswell%20Glen!5e0!3m2!1sen!2sca!4v1741903677343!5m2!1sen!2sca,1,,,,,,,,,,,
https://www.google.ca/maps/place/Burloak+Indoor+Golf/data=!4m7!3m6!1s0x882b61050feb610b:0xda55988a81a39af3!8m2!3d43.3980399!4d-79.751907!16s%2Fg%2F11mvxtcrpw!19sChIJC2HrDwVhK4gR85qjgYqYVdo?authuser=0&hl=en&rclk=1,Updated,Burloak Indoor Golf,"3527 Wyecroft Rd., Unit K3G",Oakville,L6L 0B6,ont,can,gta_west,http://www.burloakindoorgolf.com/,burloakindoorgolf.com,burloakindoorgolf@gmail.com,0,1,1,1,0,0,17,,"Our facility is unlike any other. With 13,000 square feet, 17 hitting bays, 10 with TrackMan, 2 putting greens,�fitness area,�club repair shop�and a�licensed lounge, you won't find another golf facility like ours that offers everything under one roof.�",uploads/BurloakMain.webp,uploads/Burloak2.webp,uploads/Burloak3.webp,uploads/Burloak4.webp,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2898.994713917463!2d-79.751907!3d43.39803990000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b61050feb610b%3A0xda55988a81a39af3!2sBurloak%20Indoor%20Golf!5e0!3m2!1sen!2sca!4v1741904350416!5m2!1sen!2sca,1,,4.9,-77,Indoor golf course,,,,,,,
